rating,text,name
4,The restaurant is small with only counter seating and a stand up counter top.  The menu are signs with photos and pricing hanging from the ceiling.  The...,L'Avant Comptoir
5,"""If you could read my heart, you would see the place I have given you there."" - Gustave Flaubert

L'Arc de Triomphe is perhaps the greatest standing Arc in...",L'Arc de Triomphe
5,"Pre-COVID review: The first tourist attraction we went to in Paris (other than Disneyland, which I don't really count it) was L'Arc de Triomphe!

Adult...",L'Arc de Triomphe
5,"The view from the top is breathtaking! The day we went, it was cloudy and raining but still it was worth it. You can see the whole city with such view. The...",L'Arc de Triomphe
5,"A Paris landmark worth visiting. You've seen this from a distance, why not enjoy it up close and take in Paris from here?

We loved the walk (hike) up,...",Basilique du Sacré-Cœur de Montmartre
5,"#SentimentalSunday

Standing atop the highest point of Montmartre, La Basilique du Sacré-Cœur de Montmartre can be easily identified even from outside...",Basilique du Sacré-Cœur de Montmartre
4,"I didn't go inside so that's why I can only leave four stars, but Im sure it's beautiful!! On the outside there is a TON of people so mask up, but outside...",Basilique du Sacré-Cœur de Montmartre
5,"this is for a review from 2019, this place is perfect. would recommend 100%. prices are great, food is astounding.

and i never leave reviews.",La Coïncidence
4,"I actually found this spot by accident when I was looking for just anything open that we could get into on a cold blistering December night in Paris.

I saw...",La Coïncidence
1,This place is permanently closed. Please update Yelp  to reflect this change. New restaurant has moved in with new name.,La Coïncidence
5,"Made a same day reservation at 7. This place is tiny and charming. Like 8 tables. 

They had English menus which was helpful. A menu of traditional French...",Le Potager du Père Thierry
5,"Lovely little (yes, the other reviews are accurate when they say tiny) bistro on a lovely street in Montmarte. 

Summary of our order: 
Foie gras / egg...",Le Potager du Père Thierry
4,"3.5 but I'll round up.

Like many others have already mentioned, this place is TINY and the tables are very close together. 

I LOVEDDDDD the egg cocotte...",Le Potager du Père Thierry
5,Beautiful! This park is incredible and is very large so you can walk around it for a long time. The outside sections and the right side of the main garden...,Jardin du Luxembourg
5,Just don't go on the weekends. It's very crowded and you just have to keep on walking because there are no seats. But if you go during the week it's...,Jardin du Luxembourg
5,"Beautiful, stunning, well maintained and relaxing park. We got lost while in Paris and we decided to walk around town. We just happen to stumble upon this...",Jardin du Luxembourg
5,"You cannot beat this spot for food, drinks, and a view. We were recommended by a friend and stopped in around 6pm. We didn't have a wait for an outdoor...",Bistro des Augustins
4,"what a wonderful lunch! 
the decor is so french! and the staff is very nice and accommodating! 
we had lunch with an old friend and stayed 3 hours, eating...",Bistro des Augustins
5,"Such delicious food! And great service. Everything tasted fresh and made with love. Didn't realize that I was a gratin fan until I had this meal. 10/10, I...",Bistro des Augustins
5,Passing by and you get a whif of some amazing breads...well you must stop! Walked in and was greeted not only by the lady working there but by the smells as...,Blé Sucré
4,"We were staying nearby, so we had to come back for a cheap breakfast. 

This time around: 
- Cappuccino: nice and strong, topped with a bit of cocoa powder...",Blé Sucré
5,So delicious! We just arrived to Paris and needed a quick pick me up after an early train ride from Nice. I looked for a boulangerie with high marks. This...,Blé Sucré
4,Great food was served very quick my only complaint is it was a little more pricey than I was expecting,Sanukiya
5,THE BEST UDON EVER! All the items on the menu is DELICIOUS! The workers are so nice! Will for sure come back when we are in town. Just wow,Sanukiya
4,"Boo Boo and I came here after a few hours at the Louvre museum. 

There was a long wait but it moved fast. The staff and the setup makes dining here just...",Sanukiya
5,Had a delicious meal in such a cute and homey setting - a true bistrot in the Latin quarter. We even have plans to go back - everything was delicious and...,Le Bistro du Périgord
5,"Wonderful traditional food from the south of France.
Great service. Comfortable and unpretensious atmosphere.",Le Bistro du Périgord
5,Excellent food and excellent service. A family owned restaurant and they make you feel at home. A must try. The duck was simply amazing and that sauce was...,Le Bistro du Périgord
5,"I had a great risotto and my husband loved the beef bourguignon he had.  Excellent food, friendly service, and warm ambience.",Les Antiquaires
5,"French onion soup - check!
Fresh oysters - check!
Foie gras - check!
Sancerre - check! 
Crepe Suzette - check!
Great service!
Lively atmosphere! 
Solid bistro!",Les Antiquaires
4,"This was our first restaurant we tried for lunch in Paris! We were seated outside and the restraunt wasn't too crowded. We ordered the clam linguine,...",Les Antiquaires
5,"Omg!!! The line was stupid long! There was no paper waiting list, you have to download an app and put yourself on a list. Then wait till your number comes...",Holybelly 5
5,"Highly recommend this joint if you're in Paris! The service is incredible and as Americans, it was really nice to meet Americans working here. They're...",Holybelly 5
5,"Yum, yum, yummy to my tummy. I learned about this place on Youtube. I wanted to try the savory stack. When we got there we saw a lot of people standing...",Holybelly 5
5,"Foods were delicious, great ambiance, and helpful staffs. 
The risotto cooked perfectly! I got the white fish with house white sauce (tasta like fennel,...",Le Temps des Cerises
5,This is the most wonderful ambiance in Paris! There was a wonderful reception when we walked in the door and were seated. The first thing you notice is the...,Le Temps des Cerises
5,"We loved this place for the following reasons:
1. You can easily book reservations through their website and don't have to call or email.
2. The waiter was...",Le Temps des Cerises
5,"Love the history of the place but the employees are a little snobby. 

Never the less. When I visit I do spend a lot of euros !
Worth it !",Shakespeare and Company
4,"I very old, little, and cute bookstore right next to Notre Dame. It is a very popular place both for tourists and locals, so it is cramped inside. There are...",Shakespeare and Company
5,Favorite bookstore in Paris. Every time I visit I always have to come here get my stamp and get some books. This time was extremely packed but I stilled...,Shakespeare and Company
5,"If you love Phantom then you've gotta go to his crib.
This place is off the hook when it comes to artistic architectural detail and excess. Guess one could...",Opéra National de Paris - Palais Garnier
4,Today happened to come across this landmark on our way to Galeries Lafayette. Unfortunately my partner and I were not able to get self guided tickets as it...,Opéra National de Paris - Palais Garnier
5,"Paris Opèra building is a stunning building.  I'm embarrassed to admit but having been to Paris four times now, I finally visited this place.  Each previous...",Opéra National de Paris - Palais Garnier
5,"What a wonderfully relaxing venue filled with some of the most significant works of art ever produced!

The lines can be long so I suggest you purchase the...",Musée de l’Orangerie
4,"This museum is the home of Monet's water lilies. If you want to see the spectacular drawings with Monet water lilies with long and wide painting, this is...",Musée de l’Orangerie
4,This museum only has 4 paintings by Claude Monet. The most famous painting of his is the Nympheas/Water Lilly Pads. It costs 6 euros to visit this museum....,Musée de l’Orangerie
5,"I went to this restaurant twice during my week long stay in Paris. The first time was for dinner where I dined on the most excellent French Onion soup, pork...",La Jacobine
3,"A smaller, less touristy French restaurant in a touristy area. Sits on a small street that you may not stumble upon unless you're looking for it. We waited...",La Jacobine
5,If you're a first timer in Paris! I highly recommended this restaurant! I had 3 days to spend in Paris and I went there twice. The entrees are great and...,La Jacobine
5,Staff was very friendly & accommodating as we were stuck in traffic for 1 hour and late to our reservation. They kept the table clear for us and the...,Chez Janou
4,We celebrated our final night in Paris with dinner here and it was a great place to close out the trip. We didn't make reservations so we had to wait about...,Chez Janou
4,"A lovely spot with pretty good food. We sat on the patio which, after we convinced the server to turn off the heaters, was very pleasant. The famous...",Chez Janou
5,"The Gates Of Hell! One of the reasons I wanted to visit Paris. Ok, warning, this may take a while so sit back and relax. My love of art stems from my...",Musée Rodin
5,"""The artist must create a spark before he can make a fire and before art is born, the artist must be ready to be consumed by the fire of his own creation.""...",Musée Rodin
5,"Tip: a lot of the exhibits are outside including the garden, so plan accordingly if you know if it's going to rain that day.

They don't do a lot of changes...",Musée Rodin
5,"Best breakfast we had in Paris!

We went twice and I think we'll go a third time while we are here. The menu is so good we want to try it all! 

It's also...",Holybelly 19
4,"We did not eat here, but I wanted to write this review just to inform you that this place isn't the place that serves brunch.  

You have to go down the...",Holybelly 19
5,"I can't decide if ""Holybelly"" is a term more fitting for how happy my belly was eating all of their incredible food, or if it's more fitting for what I want...",Holybelly 19
2,"Decent restaurant but very packed and very small. 
Service is okay, busy at most. Not too attentive. 
Seating is very tight and close together. 
Definitely...",Eggs & Co
5,"This place!!! After a night of partying with my new wife on our honeymoon, I was in the mood for something we both crave back home. Benedicts... Checked the...",Eggs & Co
5,"I got a meal AND a snack at this place. Delicious food and even more delicious waiter. Shout out to the tall, dark and handsome man who greeted us with a...",Eggs & Co
5,"Epic baked goods, worth the hype. A must near Canal St. Martin. 
It's even worth having some Parisian lout blow cigarette smoke in my general direction --...",Du Pain et des Idées
4,Like most bakeries in Paris (or in the world) it's best to come as early in the morning as possible to get the freshest batches of goodies. I came in a late...,Du Pain et des Idées
3,"Not sure what the hype is...
The only pastry I like was the croissant.
All other ones are okay and super pricy.",Du Pain et des Idées
5,This small shop serves my favorite crepes in Paris! Hubby discovered this spot a couple of years ago and he we had a savory and sweet crepe almost every day...,La Droguerie du Marais
5,"My very favorite crepe place in Paris, if not the world! But note - THE MARAIS (rue des rosiers) LOCATION HAS CLOSED!!! THEY ARE NOW LOCATED at 47, rue du...",La Droguerie du Marais
5,La Droguerie du Marais serves up the very BEST crepes in all of Paris.  It's a small shop with maybe 2 or 3 tables inside.  Most people get the crepes to...,La Droguerie du Marais
5,"Our dinner at Les Papilles was a top contender during our stay in Paris. The menu however changes daily and reflects seasonality and what's available fresh,...",Les Papilles
5,"Pure Bliss!

This was my favorite restaurant in Paris; actually, it may be my favorite restaurant and dining experience of all time. Make a reservation,...",Les Papilles
5,"Definitely the best meal that I had in Paris. 

We booked reservations about 3 weeks in advanced and I highly recommend you do it before your trip. 

The...",Les Papilles
5,"We chose this little restaurant based on yelp reviews. We don't speak French & our cute little waitress didn't speak very much English.  
I asked our...",La Cave Gourmande
1,We had ordered the rack of lamb and the crispy goat cheese with honey. The lamb was so fatty that there were approximately 6 small bites of meat on the...,La Cave Gourmande
2,"This is my second visit! I came in January (and had a great meal).

On the positive, service was good and portion sizes were fair.

On the first time, I had...",La Cave Gourmande
5,"We were initially looking for another restaurant on our list, but they were closed. Breizh Café was on the next block and open. This is a very cute cafe...",Breizh Café Le Marais
4,I came here under Dave Leibovitz's recommendation. We knew to avoid peak times and were able to get a table for 2 right at the edge of the outside (got...,Breizh Café Le Marais
3,"3.5 star.

basic crepe, very thin but almost too thin that you cant taste the carb.
felt a bit like tourist spot.
quite pricy for crepe.",Breizh Café Le Marais
5,I came here to La Volant about 25 years ago and met the proprietor and had some of my best meals ever enjoying him as he regales us from his good old days...,Le Volant Basque
5,"Thank you fellow ""Yelpers"" for helping us find this Gem in Paris.
Hard to find spot but just an incredible culinary experience. 
The escargot was...",Le Volant Basque
5,I found this great gem on yelp. I made a call to see if we could get a reservation last minute and the nice lady on the phone said sure just come over. We...,Le Volant Basque
5,"We are no experts.. all we can say is the crepes were very tasty! I got classic egg-cheese-tomato, and my daughter got cheese-ham-mushrooms. We both had...",Little Breizh
5,"OH EMM GEEE! Make sure you schedule a moment to duck in here for a crepe here while in Paris, and my suggestion would be to indulge in a savory one, not...",Little Breizh
5,"Craving buckwheat crepes, our journey in around the Paris Latin quarter brought us to little Breizh. Not a very big place, it was packed, and we were lucky...",Little Breizh
5,"This restaurant is exceptional. Exceptional food. Exceptional service. Exceptional wine.

Some of our favorites were the ceviche, truffle pasta, and...",L'Atelier de Joël Robuchon
2,Unfortunately this restaurant has passed its prime and seems stuck in the shadow of its former glory. We visited the St Germain version of L'Atilier and had...,L'Atelier de Joël Robuchon
5,"(Michelin )

One thing I'll always carry with me when I think back on my trip to Paris was, not only the food (cause it's amazing), but the smell of the...",L'Atelier de Joël Robuchon
5,Excellent little sandwich place. The sandwiches are massive so I went halfsies with my friend. Sandwiches were amazing and had so much flavor. It's super...,Chez Alain Miam Miam
4,"First time at store during pandemic and not at market location. Takes credit cards now which is convenient. 

Out of pastrami today so I got Spanish smoked...",Chez Alain Miam Miam
5,"We are so lucky we went close to closing! There was little to no one in the shop so we received all of the attention - even got to sample some cheese, and...",Chez Alain Miam Miam
5,Simple and Amazing! I had dinner here with local friends on my first evening in Paris and am in love.  I rented an apartment in the neighborhood so we...,Le Relais de l’Entrecôte
4,"It's what you would exactly expect for Entrecôte. I ordered Rare and came out between rare-medium rare, which I'm glad as I like my steaks prefect...",Le Relais de l’Entrecôte
4,"Friday in line at 7 pm, seated at 8:10. This line just start early.

All you can eat (AYCE) salad, bread, fries, and steak. Secret sauce is butter and...",Le Relais de l’Entrecôte
5,"Of course, this art museum is five stars. In fact, of all the art museums in Paris, Centre Pompidou has always been my favorite. 

What you will find here,...",Centre Pompidou
4,"Pompidou is a building design as inside out. They building structure frame, plumbing, air  and heating duct are all located at outside of building. Normally...",Centre Pompidou
5,"France's premier modern and contemporary art museum doesn't disappointment...if you're into this sort of art.  I not an art afficionado, but I do enjoy the...",Centre Pompidou
5,"Simply an amazing hidden gem near the Arc du Triumph. Great French fare, wine and that cozy social ambiance that I've missed for several years now. 

As for...",Le Hide
5,Great food with an awesome chef that takes cooking seriously! The staff is amazing and has been here for years.,Le Hide
5,"Some of the best food we have ever had! Although the restaurant is quite small, the ambiance is nice and the food was amazing. We would love to return in...",Le Hide
5,"Show up early - you've been warned..

We arrived before opening to an already formed line.  They are clearly used to this and prepared for it.  A staff...",Le Relais de l'Entrecôte
4,"There's a reason that the line for this Paris staple winds around the block. 

The steak is good, and so are the fries and dessert. Pleasant ambiance and...",Le Relais de l'Entrecôte
3,"As everyone says, get in line about an hour before it opens if you don't want to wait up to 2 hours after it does open. The service was so nice and the...",Le Relais de l'Entrecôte
5,"""I'm from the 1920's, and I'm telling you the golden age is la Belle Époque"" - Midnight in Paris

It's okay to dream, a little dream. Just don't dream your...",Le Petit Canard
5,"Our favorite place in Paris. Quaint, warm, tasty ... and a perfectly cooked cassoulet is always on the menu. Frank and team do a wonderful job. Reservations...",Le Petit Canard
5,"So French is my favorite food and my favorite thing to eat is cassoulet. It just taste like home to me, and I recently discovered that I have some French...",Le Petit Canard
5,It is a wonder in Paris. Definitely is a must see place. It is not easy to get the ticket in the same day. Usually they run out. You also don't meet special...,Les Catacombes de Paris
4,"A very very cool experience.....

Some things you see on TV just needs to be experienced in person. 

This is one of them for sure. 

If your in Paris this...",Les Catacombes de Paris
5,Wow! Not to be missed. I've been to Paris several times and hadn't got around to seeing the catacombs. I knew this visit I had a few things on my list of to...,Les Catacombes de Paris
5,Truly delicious dinner! We had the foie gras and duck confit and it was worth the calories. Yummmmmm. Cute place!,La Fontaine de Mars
4,"Simply delicious!! I flew in on a Friday night from Morocco and made my 9:30pm reservation (for one) right on-time. For one, I'm glad they have English...",La Fontaine de Mars
4,The food here was great and seems authentically Parisienne. It was different than expected but that doesn't mean bad . Our waiter seemed less than...,La Fontaine de Mars
5,"The best Italian food I've ever had! Simply wow.

I had the salmon/asparagus lasagna and it was amazing along with the appetizer and dessert. 

Highly...",Al Caratello
3,Very small and cramped restaurant with decent Italian food. The charcuterie tray was okay but very standard. I thought my pasta primavera was fine but...,Al Caratello
5,"Merci, delicious and fabulous.  Take a little trip to enjoy this Italian small family trattoria.",Al Caratello
5,"Definitely come here!!! Paris is beautiful and this is a beautiful musee!!! A must see!! There are plenty of bathrooms, affordable food and ther's shopping...",Pyramide du Louvre
4,"Icon for the Paris other than Eiffel Tower. This is one of the most photograph area. More importantly the pyramid is not jut the out side only, the museum...",Pyramide du Louvre
4,Utter amazingness is the Pyramide du Louvre. A trip to Paris is not complete without visiting this beauty. I wonder what the average number of pictures...,Pyramide du Louvre
5,"A must see in Paris. It's a massive cemetery with many famous people from around the world buried here like Oscar Wilde, Jim Morrison, Chopin and many...",Cimetière du Père Lachaise
5,"I went because I know my wife like this macabre stuff like the catacombs. But this cemetery is incredible. Saw Jim Morrison's grave as well as Chopin, Edith...",Cimetière du Père Lachaise
5,Second time visiting. Amazing place to take a break from the city and be someplace more quiet and peaceful. Would recommend going in early morning. No one...,Cimetière du Père Lachaise
5,"My family of 7 arrived in Paris mid-day, so I took a gamble and walked to the restaurant which was around the corner from our Airbnb, to see if I could...",Pain Vin Fromages
4,Pain Vin Fromages offers an enjoyable and authentic fondue experience with a charming and cozy atmosphere.  Definitely worth a visit if you find yourself in...,Pain Vin Fromages
5,"Great little place! I checked this place out for my birthday! I do recommend reserving in advance as they do get full, especially if you're a big group. A...",Pain Vin Fromages
5,"Great place for breakfast! So close to the Louve with amazing food and coffee! 

I got the avocado toast and it was amazing! My husband got pancakes and...",Baguett's Café
4,Enjoyed this place. A Little expensive but good. The orange cake was my favorite thing. Everything else was kind of normal so not sure about the price...,Baguett's Café
3,"It was a very busy trendy place, pretty pricey, crammed with a lot of people and the food was just okay.",Baguett's Café
5,"Amazing food quality. Great atmosphere and great waiter. 
The chili chicken was amazing, the daal was also great, had the chefs special fish which was very...",Dishoom
5,"Just wow. Can't go wrong here. I'm Indian I would know. Great chicken ruby, seekh kebab, vegetable samosa, chole puri, and everything is shareable. Lots to...",Dishoom
5,"this place is crazy good.

it had been recommended to me before, so i knew it must be at least alright if it was worthy of recommendation. but i was blown...",Dishoom
5,"Only one of the coolest, yet controversial museum's in the world!

While I won't get into the controversial side (Possible stolen goods), I would like to...",The British Museum
5,"This place is pretty huge. I would say if your from America it's comparable in size to the Philadelphia Museum of Arts. 
They had a lot more to show though...",The British Museum
4,An overwhelming museum filled with history from around the world. To enhance your visit if you choose to go are lots of resources on how these items are...,The British Museum
5,"Don't touch me, don't talk to me, I'm not okay. I don't understand how I'm supposed to just go along existing now that I've experienced this place and...",Dishoom
4,"If you've heard the hype and wonder if it's true, the answer is: YES! This is some darn good Indian cuisine. 

Food/drinks: My party ordered nearly half the...",Dishoom
4,"I've had Dishoom bookmarked for years so of course needed to come first thing on my trip to London. TLDR - it is good but not amazing.

For context - I live...",Dishoom
5,"Awesome, 5$ to enter, a nice little gallery with an available bathroom!

Cafe with soda and water",The National Gallery
5,Free and so much to see! You can quite literally spend hours here. Multiple different wings that show art works from the 1400s. I don't know much about art...,The National Gallery
4,"Free to enter, so I came here for the free toilets, free Wi-Fi and to rest my legs on the bench and warm up from the cold and rain. Oh yea they have a lot...",The National Gallery
5,A very fascinating old castle which will tell you a lot about London history and is located close to other interesting parts of the city.,Tower of London
2,"Meh.  Not impressed.  Kind'a kitschy.  

I'm sure this won't be a popular review but, I gotta be honest with people bc I would want the same.  My fiancee...",Tower of London
5,"I try to avoid the most touristy of the tourist attractions, but make the tour of  London a stop of your trip if you are visiting. From meeting with the...",Tower of London
5,"Cool experience. You have to buy your tickets in the nearby museum building. The line to this attraction can be very long. Once you get on the eye, you get...",Coca Cola London Eye
5,"One of the best 360 view of the big smoke ! If you are a visitor, a photographer or a romantic rider, this is the right attraction for you !",Coca Cola London Eye
5,A great way to see all of London - very entertaining and especially great for little kids with their families. An unmissable tourist experience.,Coca Cola London Eye
5,"The museum is now open seven days/week and the Grand Entrance has reopened.  Timed entry is valid for fifteen minutes, therefore late admittance isn't...",Victoria and Albert Museum
1,I understand that employees everywhere want to go home at the end of the day.  But a museum should close when they say they will close.  They should not...,Victoria and Albert Museum
5,"One of the best museums I have been to. There's a huge collection here that everyone can enjoy. From jewelry, sculptures to art. It's amazing that it is all...",Victoria and Albert Museum
5,"Incredible piece of Art !!  The renovations are finally completed (picture was during it).
When you think about London, this is exactly what comes to your...",Big Ben
4,"Glad I got to see it before the renovations! It's just what you'd expect from all the movies, books and websites you ever looked at. It stands tall and...",Big Ben
4,"It's currently under reconstruction and renovation, and has been so since 21 August 2017. It's planned that the Big Ben will be silent for 4 years, so while...",Big Ben
5,"Doesn't look like it's falling down to me, but then again, it's not the London Bridge, is it? 

Tower Bridge is the one you're thinking about, the picture...",Tower Bridge
5,The Tower Bridge & London Bridge are not the same. I learned that before visiting & was pretty blown away.  London Bridge is maybe half a mile up river....,Tower Bridge
5,"I miss traveling so much. Especially internationally. Been thinking about the last time that I was near this beautiful bridge. The Tower Bridge, not to be...",Tower Bridge
5,"Wow, well Hyde Park is definitely one of my top 10 places to visit when in London. The park is ginormous and has plenty of footpaths and trails to go...",Hyde Park
5,Perfect place to calm your self from stress. What beautiful place and scenery is really refreshing. Our go to spot if we want to have a little skip from...,Hyde Park
5,One thing that I can say about London is that they have some of the most breathtaking parks that I've ever seen. Hyde Park is a perfect example of this. Who...,Hyde Park
5,"Take me back! Such a treasure in Shoreditch! So happy I listened to all my local friends' recommendations to make this a must-eat whilst in London.

I avoid...",Dishoom
5,This was the first stop of our trip and it was a great place to go! We had several dishes and everything was excellent. The lassi and cocktails were yummy...,Dishoom
5,"This was a fantastic place on first trip to London close to Liverpool St
The ambience and decor are just great
Good ideas , good sayings on the wall and...",Dishoom
5,"Absolutely worth whatever wait. We loved the cheese naan, black daal, and ruby chicken most. Every morsels from the entire joint was delicious. Don't miss out.",Dishoom
4,Breakfast: The naan was really good. I had the western naan dish which was a little bit too sweet (the sauce) for me since I like my breakfast salty and...,Dishoom
5,"Delicious meal served by friendly, knowledgeable waiters. A 30 minute wait to enter during dinner so be patient.  Once inside, the food tasted fresh and...",Dishoom
5,Great museum featuring modern art. I went for the Lubaina Himid show and it was amazing.  I also decided to stay and see works from the permanent...,Tate Modern
2,"If you have an issue with violent images and/or having to walk through rooms with video (sometimes with flashing lights), skip the general exhibit. Although...",Tate Modern
4,"Finally!  I can say I have been to the famous Tate Modern. 

We purchased some warm nuts from a peddler outside and loved them, easily walked inside with...",Tate Modern
5,This was such a fun date night in London. Super delicious drinks and food. We loved the chorizo and octopus dish as well as their side of cauliflower Mac...,Sketch
1,"C'est parfait ici ! Cependant, j'ai eu une expérience terrible avec deux membres masculins du personnel. Mon mari et moi y étions la semaine dernière. Après...",Sketch
4,"I had a wonderful first time afternoon tea experience here! This place is beautiful and full of art everywhere, down to the bathrooms. My suggestion is you...",Sketch
5,"Westminster Abbey is an iconic landmark and tourist destination -- and rightfully so! I was skeptical about paying £20 just to see a church, but it's much...",Westminster Abbey
5,"Absolutely amazing and stunning. 
We didn't do the paid tour but went to an Evensong service. I plan on doing the tour the next time we go back to London....",Westminster Abbey
4,"Westminster Abbey is a royal church in Westminster, it is one of the most famous religious buildings in the country and is a resting place for numerous...",Westminster Abbey
5,"The best English breakfast in town maybe  Having breakfast at the Regency Cafe is truly an amazing London experience. 

The food is authentic , fresh and...",Regency Café
4,"Ever the odd ball, the cashier laughed when I ordered black pudding with my fish and chips 
Our London friends recommended this place as a great classic...",Regency Café
5,"Fantastic full English experience at low prices, queue is long but worth it, a lot of locals and tourists so it's a fun mix and reminds me of old american...",Regency Café
5,This is an amazing museum which is great for people of all ages. I have gone here many times over the years and don't aim to stop!,The Natural History Museum
5,"One of the best museums in the world but 100% the best architectural museum anywhere 
Fact",The Natural History Museum
5,"This is my go-to London museum for kids. Whether it is just relaxing outside of this amazing building, or checking out the dinosaurs or ocean life, there is...",The Natural History Museum
5,"Such a cool spot. According to a Chilean dude I was with that lives in Connecticut, USA, this is the oldest wine bar in the UK. We had a drink at the bar...",Gordon's Wine Bar
5,This is our favorite bar IN THE WORLD. First day of first trip to London since COVID. After a brief wait outside we were able to enter and get a number for...,Gordon's Wine Bar
1,didn't get to see gordon ramsey and honestly proper disappointment from my kids right now they r proper crying cos they didn't get to see him. thanks. will...,Gordon's Wine Bar
5,"Oh my gosh this place is amazing!!


Not only is there a plethora of food so no matter what you're craving you'll have options (Italian, Vietnamese,...",Camden Market
4,"My fiancee went to graduate school in London and lived here for a few years.  Because of this, he knows his way around pretty well and this was somewhere...",Camden Market
4,"Camden Market is one of the most popular markets in all of London, and for good reason. Originating in the 1970's but mostly built up in the early 2000's...",Camden Market
5,Absolutely one of our favorite dinners during our trip to London! Everything was absolutely exceptional and the vibes inside were perfect! The crust on the...,Hawksmoor Seven Dials
3,"Pre-COVID review:

This place has a nice vibe, like it's a chill place to go after work and grab a drink. 

Both of us ordered the 400g boneless sirloin...",Hawksmoor Seven Dials
3,"Came in especially for the Sunday Roast. Not sure what all the fuss is about??? 

The service was faultless. The food left a lot to be desired.  The rump...",Hawksmoor Seven Dials
5,Wonderful find in Kensington! Busy during weekday dinner but we luckily got seated immediately- recommend booking in advance to make sure! Very homey feel...,Ffiona's Restaurant
4,"Food: Yummy English comfort food, I was there on a Sunday night,  so.  why not have the good ole Sunday roast. It was yummy, well prepared, loved the piece...",Ffiona's Restaurant
5,London is OPEN and so is FFIONA'S..........went tonight and dinner was ffabulous  . Real Food is back so nice to be back in the UK and a meal better than my...,Ffiona's Restaurant
5,"We had to try Bangers and Mash while visiting The Big Smoke so we Yelped it and found Mother Mash to be top rated for this dish. 

This place specializes in...",Mother Mash
4,"We came here at around 6 pm but the place was packed, so we decided to come back at 8 pm to have dessert.  The best sticky toffee pudding, it's definitely...",Mother Mash
5,"So so so good. I'm trying to figure out how to go back a second day in a row. I had the steak pie with horseradish mash, and the farmers gravy. The pie...",Mother Mash
5,Superb. Was headed to Dishoom based on reviews but the que was very long and we had no reservations. Walked a little further to find Punjab. They seated us...,Punjab Restaurant
